,Accession,Description,Score,Coverage,# Proteins,# Unique Peptides,# Peptides,# PSMs,# AAs,MW [kDa],calc. pI
0,P68871,Hemoglobin subunit beta OS=Homo sapiens OX=9606 GN=HBB PE=1 SV=2 - [HBB_HUMAN],1683.18116295338,100.0,4,18,25,490,147,15.98829092466,7.28369140625
1,P69905,Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2 - [HBA_HUMAN],860.952581167221,94.37,4,19,19,256,142,15.24792627466,8.67529296875
2,P02042,Hemoglobin subunit delta OS=Homo sapiens OX=9606 GN=HBD PE=1 SV=2 - [HBD_HUMAN],853.970988750458,91.16,4,9,16,256,147,16.04529062466,8.04541015625
3,P69891,Hemoglobin subunit gamma-1 OS=Homo sapiens OX=9606 GN=HBG1 PE=1 SV=2 - [HBG1_HUMAN],310.018627882004,85.71,3,1,13,107,147,16.13031217466,7.19580078125
4,P69892,Hemoglobin subunit gamma-2 OS=Homo sapiens OX=9606 GN=HBG2 PE=1 SV=2 - [HBG2_HUMAN],302.487644910812,85.71,3,1,13,105,147,16.11629652466,7.19580078125
5,P02768,Serum albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2 - [ALBU_HUMAN],266.732275724411,69.95,8,43,43,85,609,69.32149882466,6.27783203125
6,P02100,Hemoglobin subunit epsilon OS=Homo sapiens OX=9606 GN=HBE1 PE=1 SV=2 - [HBE_HUMAN],251.954119682312,33.33,2,2,4,90,147,16.19247089466,8.63134765625
7,P02751,Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=4 - [FINC_HUMAN],199.208264112473,27.91,3,41,41,58,2386,262.46011262466,5.70654296875
8,P01024,Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2 - [CO3_HUMAN],197.343801736832,40.71,5,52,52,61,1663,187.02988373466,6.40478515625
9,P02549,"Spectrin alpha chain, erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTA1 PE=1 SV=5 - [SPTA1_HUMAN]",175.057546854019,29.64,1,50,50,56,2419,279.841908974661,5.04638671875
10,P02671,Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2 - [FIBA_HUMAN],129.215535283089,28.41,2,18,18,41,866,94.9144191846604,6.01123046875
11,P11277,"Spectrin beta chain, erythrocytic OS=Homo sapiens OX=9606 GN=SPTB PE=1 SV=5 - [SPTB1_HUMAN]",128.129633665085,25.83,6,37,37,39,2137,246.31574488466,5.27490234375
12,P00915,Carbonic anhydrase 1 OS=Homo sapiens OX=9606 GN=CA1 PE=1 SV=2 - [CAH1_HUMAN],125.174576282501,69.73,13,15,15,38,261,28.85238934466,7.12255859375
13,Q60FE5,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=1 - [Q60FE5_HUMAN],123.847095489502,20.15,8,34,34,41,2620,278.052770494661,6.06201171875
14,P35579,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4 - [MYH9_HUMAN],118.2230437994,22.19,6,33,34,39,1960,226.39160226466,5.60498046875
15,P02730,Band 3 anion transport protein OS=Homo sapiens OX=9606 GN=SLC4A1 PE=1 SV=3 - [B3AT_HUMAN],114.881819725037,22.83,2,15,15,34,911,101.72741707466,5.18603515625
16,P02647,Apolipoprotein A-I OS=Homo sapiens OX=9606 GN=APOA1 PE=1 SV=1 - [APOA1_HUMAN],107.87651014328,53.18,2,16,16,35,267,30.75893391466,5.75732421875
17,P02787,Serotransferrin OS=Homo sapiens OX=9606 GN=TF PE=1 SV=3 - [TRFE_HUMAN],106.790043711662,49.14,7,26,26,34,698,77.0136334646601,7.12255859375
18,P01023,Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3 - [A2MG_HUMAN],106.623138546944,30.19,4,29,32,35,1474,163.18789839466,6.45556640625
19,P00441,Superoxide dismutase [Cu-Zn] OS=Homo sapiens OX=9606 GN=SOD1 PE=1 SV=2 - [SODC_HUMAN],105.580571174622,62.34,2,6,6,21,154,15.92590463466,6.12548828125
20,P16157,Ankyrin-1 OS=Homo sapiens OX=9606 GN=ANK1 PE=1 SV=3 - [ANK1_HUMAN],105.404594302177,22.28,6,33,33,40,1881,206.13693402466,6.01123046875
21,E7EQB2,Lactotransferrin (Fragment) OS=Homo sapiens OX=9606 GN=LTF PE=1 SV=1 - [E7EQB2_HUMAN],101.241567373276,50.86,4,27,27,32,696,76.5768903246601,8.01611328125
22,Q9Y490,Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3 - [TLN1_HUMAN],98.8998241424561,14.56,1,23,23,27,2541,269.59906266466,6.07470703125
23,P32119,Peroxiredoxin-2 OS=Homo sapiens OX=9606 GN=PRDX2 PE=1 SV=5 - [PRDX2_HUMAN],93.6750967502594,65.15,2,11,12,27,198,21.87823885466,5.97314453125
24,P04114,Apolipoprotein B-100 OS=Homo sapiens OX=9606 GN=APOB PE=1 SV=2 - [APOB_HUMAN],92.9898430109024,10.76,2,36,36,36,4563,515.282932694663,7.04931640625
25,P12814,Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2 - [ACTN1_HUMAN],90.6091632843018,32.62,23,19,23,29,892,102.99263728466,5.41455078125
26,P04040,Catalase OS=Homo sapiens OX=9606 GN=CAT PE=1 SV=3 - [CATA_HUMAN],88.4397623538971,44.59,1,18,18,30,527,59.7187578746601,7.38623046875
27,P01857,Immunoglobulin heavy constant gamma 1 OS=Homo sapiens OX=9606 GN=IGHG1 PE=1 SV=1 - [IGHG1_HUMAN],87.6306663751602,46.36,3,5,10,27,330,36.08316847466,8.19189453125
28,C9JEU5,Fibrinogen gamma chain OS=Homo sapiens OX=9606 GN=FGG PE=1 SV=1 - [C9JEU5_HUMAN],81.6175841093063,44.94,5,15,15,24,445,50.2904329246601,6.08740234375
29,P60709,"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1 - [ACTB_HUMAN]",75.56918156147,42.13,23,3,12,23,375,41.70973209466,5.47802734375
30,P18206,Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4 - [VINC_HUMAN],62.9776847362518,23.1,1,21,21,21,1134,123.72181897466,5.65576171875
31,P02675,Fibrinogen beta chain OS=Homo sapiens OX=9606 GN=FGB PE=1 SV=2 - [FIBB_HUMAN],62.9370379447937,35.23,2,14,14,20,491,55.8922632646601,8.26513671875
32,P08514,Integrin alpha-IIb OS=Homo sapiens OX=9606 GN=ITGA2B PE=1 SV=3 - [ITA2B_HUMAN],59.4486100673676,22.14,3,17,17,17,1039,113.30551996466,5.37646484375
33,A0A0G2JPR0,Complement C4-A OS=Homo sapiens OX=9606 GN=C4A PE=1 SV=1 - [A0A0G2JPR0_HUMAN],59.0106880664825,14.39,11,17,17,18,1744,192.75449427466,7.03466796875
34,P01834,Immunoglobulin kappa constant OS=Homo sapiens OX=9606 GN=IGKC PE=1 SV=2 - [IGKC_HUMAN],56.3015699386597,83.18,1,6,6,16,107,11.75776875466,6.52197265625
35,P68032,"Actin, alpha cardiac muscle 1 OS=Homo sapiens OX=9606 GN=ACTC1 PE=1 SV=1 - [ACTC_HUMAN]",51.0006781816483,29.44,13,2,9,18,377,41.99188264466,5.38916015625
36,P01871,Immunoglobulin heavy constant mu OS=Homo sapiens OX=9606 GN=IGHM PE=1 SV=4 - [IGHM_HUMAN],46.2287015914917,30.68,2,11,11,17,453,49.4085823846601,6.77099609375
37,P00738,Haptoglobin OS=Homo sapiens OX=9606 GN=HP PE=1 SV=1 - [HPT_HUMAN],45.7164906263351,39.66,12,6,13,16,406,45.17656637466,6.58056640625
38,P01859,Immunoglobulin heavy constant gamma 2 OS=Homo sapiens OX=9606 GN=IGHG2 PE=1 SV=2 - [IGHG2_HUMAN],45.6141372919083,24.54,2,2,6,16,326,35.87775764466,7.59130859375
39,E9PIT3,Prothrombin OS=Homo sapiens OX=9606 GN=F2 PE=1 SV=1 - [E9PIT3_HUMAN],45.2835993766785,27.44,3,10,10,12,583,65.36674820466,5.70654296875
40,P00450,Ceruloplasmin OS=Homo sapiens OX=9606 GN=CP PE=1 SV=1 - [CERU_HUMAN],40.9458389282227,17.46,5,15,15,15,1065,122.12759346466,5.71923828125
41,P19105,Myosin regulatory light chain 12A OS=Homo sapiens OX=9606 GN=MYL12A PE=1 SV=2 - [ML12A_HUMAN],40.7744425535202,45.03,4,3,5,10,171,19.78149140466,4.80517578125
42,F5H265,Polyubiquitin-C (Fragment) OS=Homo sapiens OX=9606 GN=UBC PE=1 SV=1 - [F5H265_HUMAN],38.9755424261093,85.91,24,7,7,13,149,16.83107960466,6.58056640625
43,P0DP25,Calmodulin-3 OS=Homo sapiens OX=9606 GN=CALM3 PE=1 SV=1 - [CALM3_HUMAN],38.7231638431549,36.91,10,5,5,11,149,16.82683520466,4.22119140625
44,H3BM21,Integrin beta (Fragment) OS=Homo sapiens OX=9606 PE=3 SV=1 - [H3BM21_HUMAN],36.4134402275085,14.99,3,9,9,11,787,86.92226536466,5.09716796875
45,P30041,Peroxiredoxin-6 OS=Homo sapiens OX=9606 GN=PRDX6 PE=1 SV=3 - [PRDX6_HUMAN],36.2370438575745,50.45,1,10,10,11,224,25.01919155466,6.37939453125
46,P04196,Histidine-rich glycoprotein OS=Homo sapiens OX=9606 GN=HRG PE=1 SV=1 - [HRG_HUMAN],35.8869028091431,17.71,1,8,8,11,525,59.5408700146601,7.50341796875
47,Q4VB86,EPB41 protein OS=Homo sapiens OX=9606 GN=EPB41 PE=1 SV=2 - [Q4VB86_HUMAN],34.8602986335754,18.97,27,8,8,11,622,69.8470034546601,6.78564453125
48,A0A2R8YEA7,"Actin, cytoplasmic 1 (Fragment) OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1 - [A0A2R8YEA7_HUMAN]",34.6115789413452,54.14,1,1,6,12,157,17.45958479466,4.72900390625
49,P01860,Immunoglobulin heavy constant gamma 3 OS=Homo sapiens OX=9606 GN=IGHG3 PE=1 SV=2 - [IGHG3_HUMAN],34.4907232522964,19.89,2,2,6,13,377,41.26036278466,7.89892578125
50,P04406,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3 - [G3P_HUMAN],33.9786174297333,32.84,2,7,7,10,335,36.03039959466,8.45556640625
51,P55072,Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4 - [TERA_HUMAN],33.3676908016205,13.15,1,7,7,10,806,89.2657238746601,5.26220703125
52,P01009,Alpha-1-antitrypsin OS=Homo sapiens OX=9606 GN=SERPINA1 PE=1 SV=3 - [A1AT_HUMAN],33.0520169734955,32.78,2,1,12,14,418,46.70702160466,5.59228515625
53,E7EPV7,Alpha-synuclein OS=Homo sapiens OX=9606 GN=SNCA PE=1 SV=1 - [E7EPV7_HUMAN],32.8628544807434,46.09,4,5,5,9,115,11.76925006466,9.23193359375
54,A0A024R6I7,Alpha-1-antitrypsin OS=Homo sapiens OX=9606 GN=SERPINA1 PE=1 SV=1 - [A0A024R6I7_HUMAN],32.6503338813782,32.78,3,1,12,16,418,46.67899030466,5.59228515625
55,Q562R1,Beta-actin-like protein 2 OS=Homo sapiens OX=9606 GN=ACTBL2 PE=1 SV=2 - [ACTBL_HUMAN],31.2520281076431,16.22,1,1,5,11,376,41.97596926466,5.59228515625
56,A0A087WU29,Glycophorin OS=Homo sapiens OX=9606 GN=GYPA PE=1 SV=1 - [A0A087WU29_HUMAN],30.2820957899094,29.05,8,2,3,6,148,16.17521485466,4.98291015625
57,P06702,Protein S100-A9 OS=Homo sapiens OX=9606 GN=S100A9 PE=1 SV=1 - [S10A9_HUMAN],29.7798737287521,49.12,1,4,4,12,114,13.23350884466,6.12548828125
58,P24844,Myosin regulatory light polypeptide 9 OS=Homo sapiens OX=9606 GN=MYL9 PE=1 SV=4 - [MYL9_HUMAN],29.6735208034515,38.37,2,2,4,7,172,19.81444885466,4.91943359375
59,P01011,Alpha-1-antichymotrypsin OS=Homo sapiens OX=9606 GN=SERPINA3 PE=1 SV=2 - [AACT_HUMAN],28.7769892215729,25.77,4,8,8,9,423,47.62053863466,5.51611328125
60,P05164,Myeloperoxidase OS=Homo sapiens OX=9606 GN=MPO PE=1 SV=1 - [PERM_HUMAN],28.3123323917389,16.78,2,10,10,11,745,83.8148427546601,8.96826171875
61,P11021,Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2 - [BIP_HUMAN],28.2218391895294,21.1,1,8,10,10,654,72.2884398746601,5.16064453125
62,Q99497,Protein/nucleic acid deglycase DJ-1 OS=Homo sapiens OX=9606 GN=PARK7 PE=1 SV=2 - [PARK7_HUMAN],27.8598475456238,40.21,3,7,7,9,189,19.87848931466,6.78564453125
63,P63104,14-3-3 protein zeta/delta OS=Homo sapiens OX=9606 GN=YWHAZ PE=1 SV=1 - [1433Z_HUMAN],27.8082549571991,48.16,12,8,9,9,245,27.72772965466,4.79248046875
64,E9PKE3,Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1 - [E9PKE3_HUMAN],27.5460667610168,19.14,13,5,8,9,627,68.76318831466,5.51611328125
65,A0A087WWU8,Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1 - [A0A087WWU8_HUMAN],27.3813741207123,25.11,7,4,6,8,227,26.40440233466,4.77978515625
66,P06727,Apolipoprotein A-IV OS=Homo sapiens OX=9606 GN=APOA4 PE=1 SV=3 - [APOA4_HUMAN],27.0354874134064,23.74,1,9,9,10,396,45.37146874466,5.37646484375
67,P27105,Erythrocyte band 7 integral membrane protein OS=Homo sapiens OX=9606 GN=STOM PE=1 SV=3 - [STOM_HUMAN],26.0578390359879,38.54,3,8,8,9,288,31.71074224466,7.88427734375
68,A0A087WV45,Transthyretin OS=Homo sapiens OX=9606 GN=TTR PE=1 SV=1 - [A0A087WV45_HUMAN],25.9555661678314,41.73,3,3,3,6,139,15.11058884466,5.75732421875
69,P01861,Immunoglobulin heavy constant gamma 4 OS=Homo sapiens OX=9606 GN=IGHG4 PE=1 SV=1 - [IGHG4_HUMAN],25.8018224239349,23.55,2,2,5,9,327,35.91786734466,7.35693359375
70,Q13228,Methanethiol oxidase OS=Homo sapiens OX=9606 GN=SELENBP1 PE=1 SV=2 - [SBP1_HUMAN],25.7926836013794,20.76,6,9,9,9,472,52.35762741466,6.36669921875
71,P01876,Immunoglobulin heavy constant alpha 1 OS=Homo sapiens OX=9606 GN=IGHA1 PE=1 SV=2 - [IGHA1_HUMAN],23.4399299621582,34.56,2,2,7,7,353,37.63064002466,6.50732421875
72,P0DOY2,Immunoglobulin lambda constant 2 OS=Homo sapiens OX=9606 GN=IGLC2 PE=1 SV=1 - [IGLC2_HUMAN],23.1823796033859,65.09,7,4,4,10,106,11.28654974466,7.23974609375
73,A0A0A0MS51,Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1 - [A0A0A0MS51_HUMAN],22.7054271697998,15.64,5,7,7,8,748,82.4743286946601,5.63037109375
74,P04921,Glycophorin-C OS=Homo sapiens OX=9606 GN=GYPC PE=1 SV=1 - [GLPC_HUMAN],22.5185630321503,21.09,1,2,2,5,128,13.80168427466,4.84326171875
75,P08603,Complement factor H OS=Homo sapiens OX=9606 GN=CFH PE=1 SV=4 - [CFAH_HUMAN],22.5109329223633,10.15,6,9,10,10,1231,139.00470380466,6.60986328125
76,Q14624,Inter-alpha-trypsin inhibitor heavy chain H4 OS=Homo sapiens OX=9606 GN=ITIH4 PE=1 SV=4 - [ITIH4_HUMAN],22.3232569694519,8.71,3,5,5,6,930,103.29298970466,6.97607421875
77,A0A0G2JMB2,Immunoglobulin heavy constant alpha 2 (Fragment) OS=Homo sapiens OX=9606 GN=IGHA2 PE=1 SV=1 - [A0A0G2JMB2_HUMAN],22.1066932678223,30.0,3,1,6,6,340,36.48505101466,6.10009765625
78,P04004,Vitronectin OS=Homo sapiens OX=9606 GN=VTN PE=1 SV=1 - [VTNC_HUMAN],21.9529531002045,15.69,2,5,5,7,478,54.2711700446601,5.79541015625
79,H3BQN4,Fructose-bisphosphate aldolase OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=1 - [H3BQN4_HUMAN],21.2174942493439,19.94,9,6,6,6,361,39.31539202466,8.39697265625
80,H0YC35,Clusterin (Fragment) OS=Homo sapiens OX=9606 GN=CLU PE=1 SV=1 - [H0YC35_HUMAN],21.1439788341522,27.46,6,6,6,8,284,33.50827772466,5.74462890625
81,P49773,Histidine triad nucleotide-binding protein 1 OS=Homo sapiens OX=9606 GN=HINT1 PE=1 SV=2 - [HINT1_HUMAN],20.5886735916138,59.52,5,4,4,5,126,13.79309454466,6.94677734375
82,P07738,Bisphosphoglycerate mutase OS=Homo sapiens OX=9606 GN=BPGM PE=1 SV=2 - [PMGE_HUMAN],20.4039194583893,27.03,2,6,6,7,259,29.98651171466,6.53662109375
83,P02765,Alpha-2-HS-glycoprotein OS=Homo sapiens OX=9606 GN=AHSG PE=1 SV=2 - [FETUA_HUMAN],20.2295200824738,20.44,2,5,5,7,367,39.31568933466,5.71923828125
84,P00918,Carbonic anhydrase 2 OS=Homo sapiens OX=9606 GN=CA2 PE=1 SV=2 - [CAH2_HUMAN],19.7135601043701,22.31,3,4,4,6,260,29.22792344466,7.40087890625
85,P01019,Angiotensinogen OS=Homo sapiens OX=9606 GN=AGT PE=1 SV=1 - [ANGT_HUMAN],19.5163338184357,12.78,1,5,5,6,485,53.1205172246601,6.31591796875
86,P60174,Triosephosphate isomerase OS=Homo sapiens OX=9606 GN=TPI1 PE=1 SV=3 - [TPIS_HUMAN],19.2579476833344,28.67,4,6,6,6,286,30.77169764466,5.92236328125
87,P27169,Serum paraoxonase/arylesterase 1 OS=Homo sapiens OX=9606 GN=PON1 PE=1 SV=3 - [PON1_HUMAN],19.2319936752319,20.85,4,5,5,6,355,39.70622976466,5.22412109375
88,P00739,Haptoglobin-related protein OS=Homo sapiens OX=9606 GN=HPR PE=2 SV=2 - [HPTR_HUMAN],19.2045971155167,23.85,3,1,8,8,348,39.00468126466,7.09326171875
89,E7EQ12,Calpastatin OS=Homo sapiens OX=9606 GN=CAST PE=1 SV=1 - [E7EQ12_HUMAN],19.13223528862,22.22,17,6,6,7,423,46.10573879466,4.75439453125
