,Accession,Description,Score,Coverage,# Proteins,# Unique Peptides,# Peptides,# PSMs,# AAs,MW [kDa],calc. pI
0,P68871,Hemoglobin subunit beta OS=Homo sapiens OX=9606 GN=HBB PE=1 SV=2 - [HBB_HUMAN],1278.80938148499,91.16,5,15,21,378,147,15.98829092466,7.28369140625
1,P69905,Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2 - [HBA_HUMAN],945.334485769272,94.37,4,18,18,278,142,15.24792627466,8.67529296875
2,P02042,Hemoglobin subunit delta OS=Homo sapiens OX=9606 GN=HBD PE=1 SV=2 - [HBD_HUMAN],643.652351975441,88.44,5,9,15,200,147,16.04529062466,8.04541015625
3,P02671,Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2 - [FIBA_HUMAN],560.453379750252,44.34,2,45,45,182,866,94.9144191846604,6.01123046875
4,P02768,Serum albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2 - [ALBU_HUMAN],424.395424962044,77.67,8,53,53,128,609,69.32149882466,6.27783203125
5,Q60FE5,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=1 - [Q60FE5_HUMAN],357.523695111275,43.63,8,71,75,106,2620,278.052770494661,6.06201171875
6,P01024,Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2 - [CO3_HUMAN],352.270104527473,53.58,5,69,69,108,1663,187.02988373466,6.40478515625
7,Q9Y490,Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3 - [TLN1_HUMAN],323.068039774895,39.83,4,61,61,87,2541,269.59906266466,6.07470703125
8,P02675,Fibrinogen beta chain OS=Homo sapiens OX=9606 GN=FGB PE=1 SV=2 - [FIBB_HUMAN],320.584216356277,69.86,2,31,31,94,491,55.8922632646601,8.26513671875
9,A0A2R8Y7X9,Uncharacterized protein OS=Homo sapiens OX=9606 PE=3 SV=1 - [A0A2R8Y7X9_HUMAN],231.058518409729,75.0,4,1,9,82,168,18.40858482466,6.96142578125
10,P69892,Hemoglobin subunit gamma-2 OS=Homo sapiens OX=9606 GN=HBG2 PE=1 SV=2 - [HBG2_HUMAN],227.115122556686,74.83,4,1,9,81,147,16.11629652466,7.19580078125
11,P02751,Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=4 - [FINC_HUMAN],217.170173168182,27.66,3,42,42,62,2386,262.46011262466,5.70654296875
12,P01023,Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3 - [A2MG_HUMAN],216.647307038307,41.86,4,37,44,68,1474,163.18789839466,6.45556640625
13,C9JEU5,Fibrinogen gamma chain OS=Homo sapiens OX=9606 GN=FGG PE=1 SV=1 - [C9JEU5_HUMAN],212.13471198082,46.74,5,21,21,64,445,50.2904329246601,6.08740234375
14,P02100,Hemoglobin subunit epsilon OS=Homo sapiens OX=9606 GN=HBE1 PE=1 SV=2 - [HBE_HUMAN],198.386330127716,18.37,2,1,3,73,147,16.19247089466,8.63134765625
15,P12814,Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2 - [ACTN1_HUMAN],196.466095805168,54.48,21,26,39,61,892,102.99263728466,5.41455078125
16,P02787,Serotransferrin OS=Homo sapiens OX=9606 GN=TF PE=1 SV=3 - [TRFE_HUMAN],170.606988787651,57.31,7,36,36,58,698,77.0136334646601,7.12255859375
17,P0C0L5,Complement C4-B OS=Homo sapiens OX=9606 GN=C4B PE=1 SV=2 - [CO4B_HUMAN],170.03616964817,27.75,11,33,33,47,1744,192.63055081466,7.26904296875
18,P02549,"Spectrin alpha chain, erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTA1 PE=1 SV=5 - [SPTA1_HUMAN]",167.744330525398,25.92,1,46,46,54,2419,279.841908974661,5.04638671875
19,P02647,Apolipoprotein A-I OS=Homo sapiens OX=9606 GN=APOA1 PE=1 SV=1 - [APOA1_HUMAN],166.341150999069,58.8,2,21,21,51,267,30.75893391466,5.75732421875
20,A0A2R8Y793,"Actin, cytoplasmic 1 (Fragment) OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1 - [A0A2R8Y793_HUMAN]",164.16144156456,69.9,16,6,16,48,309,34.11984727466,5.17333984375
21,P35579,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4 - [MYH9_HUMAN],162.835931181908,28.27,8,40,43,52,1960,226.39160226466,5.60498046875
22,P18206,Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4 - [VINC_HUMAN],161.826620817184,37.65,2,34,34,50,1134,123.72181897466,5.65576171875
23,P11277,"Spectrin beta chain, erythrocytic OS=Homo sapiens OX=9606 GN=SPTB PE=1 SV=5 - [SPTB1_HUMAN]",158.520849108696,29.29,7,42,42,46,2137,246.31574488466,5.27490234375
24,P01009,Alpha-1-antitrypsin OS=Homo sapiens OX=9606 GN=SERPINA1 PE=1 SV=3 - [A1AT_HUMAN],137.476796388626,53.35,6,1,20,44,418,46.70702160466,5.59228515625
25,P01857,Immunoglobulin heavy constant gamma 1 OS=Homo sapiens OX=9606 GN=IGHG1 PE=1 SV=1 - [IGHG1_HUMAN],134.231149315834,49.7,3,6,15,40,330,36.08316847466,8.19189453125
26,P01834,Immunoglobulin kappa constant OS=Homo sapiens OX=9606 GN=IGKC PE=1 SV=2 - [IGKC_HUMAN],131.583755493164,87.85,1,8,8,35,107,11.75776875466,6.52197265625
27,A0A024R6I7,Alpha-1-antitrypsin OS=Homo sapiens OX=9606 GN=SERPINA1 PE=1 SV=1 - [A0A024R6I7_HUMAN],128.127838611603,53.35,7,1,20,42,418,46.67899030466,5.59228515625
28,P00915,Carbonic anhydrase 1 OS=Homo sapiens OX=9606 GN=CA1 PE=1 SV=2 - [CAH1_HUMAN],120.289561986923,61.69,13,12,12,35,261,28.85238934466,7.12255859375
29,P08514,Integrin alpha-IIb OS=Homo sapiens OX=9606 GN=ITGA2B PE=1 SV=3 - [ITA2B_HUMAN],119.971414327621,32.53,3,27,27,34,1039,113.30551996466,5.37646484375
30,P04114,Apolipoprotein B-100 OS=Homo sapiens OX=9606 GN=APOB PE=1 SV=2 - [APOB_HUMAN],119.746494174004,11.94,2,41,41,47,4563,515.282932694663,7.04931640625
31,P00734,Prothrombin OS=Homo sapiens OX=9606 GN=F2 PE=1 SV=2 - [THRB_HUMAN],101.978558778763,48.23,3,21,21,27,622,69.9921271946601,5.89697265625
32,P00450,Ceruloplasmin OS=Homo sapiens OX=9606 GN=CP PE=1 SV=1 - [CERU_HUMAN],98.1817870140076,32.58,5,23,23,30,1065,122.12759346466,5.71923828125
33,P04040,Catalase OS=Homo sapiens OX=9606 GN=CAT PE=1 SV=3 - [CATA_HUMAN],85.6647073030472,47.63,1,18,18,25,527,59.7187578746601,7.38623046875
34,P10909,Clusterin OS=Homo sapiens OX=9606 GN=CLU PE=1 SV=1 - [CLUS_HUMAN],85.0583298206329,29.4,10,11,11,28,449,52.46100815466,6.26513671875
35,P01871,Immunoglobulin heavy constant mu OS=Homo sapiens OX=9606 GN=IGHM PE=1 SV=4 - [IGHM_HUMAN],84.5095967054367,40.84,2,13,13,31,453,49.4085823846601,6.77099609375
36,P02730,Band 3 anion transport protein OS=Homo sapiens OX=9606 GN=SLC4A1 PE=1 SV=3 - [B3AT_HUMAN],84.21963763237,27.33,2,17,17,25,911,101.72741707466,5.18603515625
37,A0A2R8YEA7,"Actin, cytoplasmic 1 (Fragment) OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1 - [A0A2R8YEA7_HUMAN]",81.7835969924927,73.25,1,1,7,26,157,17.45958479466,4.72900390625
38,P68032,"Actin, alpha cardiac muscle 1 OS=Homo sapiens OX=9606 GN=ACTC1 PE=1 SV=1 - [ACTC_HUMAN]",79.2884236574173,32.36,14,5,12,31,377,41.99188264466,5.38916015625
39,O43707,Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2 - [ACTN4_HUMAN],78.6996454000473,23.05,5,4,17,25,911,104.78847845466,5.43994140625
40,P01859,Immunoglobulin heavy constant gamma 2 OS=Homo sapiens OX=9606 GN=IGHG2 PE=1 SV=2 - [IGHG2_HUMAN],76.9048416614532,36.2,2,3,9,26,326,35.87775764466,7.59130859375
41,P16157,Ankyrin-1 OS=Homo sapiens OX=9606 GN=ANK1 PE=1 SV=3 - [ANK1_HUMAN],75.4273047447205,19.62,4,24,24,25,1881,206.13693402466,6.01123046875
42,Q14624,Inter-alpha-trypsin inhibitor heavy chain H4 OS=Homo sapiens OX=9606 GN=ITIH4 PE=1 SV=4 - [ITIH4_HUMAN],73.7642025947571,27.2,3,19,19,24,930,103.29298970466,6.97607421875
43,P06727,Apolipoprotein A-IV OS=Homo sapiens OX=9606 GN=APOA4 PE=1 SV=3 - [APOA4_HUMAN],73.1189336776733,48.99,1,20,20,23,396,45.37146874466,5.37646484375
44,P04196,Histidine-rich glycoprotein OS=Homo sapiens OX=9606 GN=HRG PE=1 SV=1 - [HRG_HUMAN],68.5633392333984,21.71,1,10,10,24,525,59.5408700146601,7.50341796875
45,P20742,Pregnancy zone protein OS=Homo sapiens OX=9606 GN=PZP PE=1 SV=4 - [PZP_HUMAN],67.4647935628891,20.45,2,14,21,25,1482,163.75958980466,6.37939453125
46,P07996,Thrombospondin-1 OS=Homo sapiens OX=9606 GN=THBS1 PE=1 SV=2 - [TSP1_HUMAN],66.0627220869064,24.7,7,20,20,25,1170,129.29956108466,4.94482421875
47,A0A0A0MS51,Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1 - [A0A0A0MS51_HUMAN],64.2831289768219,31.95,5,15,15,19,748,82.4743286946601,5.63037109375
48,P32119,Peroxiredoxin-2 OS=Homo sapiens OX=9606 GN=PRDX2 PE=1 SV=5 - [PRDX2_HUMAN],63.9344128370285,52.02,2,8,9,20,198,21.87823885466,5.97314453125
49,P01860,Immunoglobulin heavy constant gamma 3 OS=Homo sapiens OX=9606 GN=IGHG3 PE=1 SV=2 - [IGHG3_HUMAN],62.8022440671921,34.75,2,3,12,22,377,41.26036278466,7.89892578125
50,P00738,Haptoglobin OS=Homo sapiens OX=9606 GN=HP PE=1 SV=1 - [HPT_HUMAN],60.3258534669876,43.84,12,8,15,21,406,45.17656637466,6.58056640625
51,P01876,Immunoglobulin heavy constant alpha 1 OS=Homo sapiens OX=9606 GN=IGHA1 PE=1 SV=2 - [IGHA1_HUMAN],57.701641201973,49.86,2,5,11,14,353,37.63064002466,6.50732421875
52,P05106,Integrin beta-3 OS=Homo sapiens OX=9606 GN=ITGB3 PE=1 SV=2 - [ITB3_HUMAN],52.001616358757,21.45,3,13,13,17,788,87.00041653466,5.23681640625
53,P02649,Apolipoprotein E OS=Homo sapiens OX=9606 GN=APOE PE=1 SV=1 - [APOE_HUMAN],51.6454613208771,44.79,4,11,11,15,317,36.13175688466,5.73193359375
54,Q86UX7,Fermitin family homolog 3 OS=Homo sapiens OX=9606 GN=FERMT3 PE=1 SV=1 - [URP2_HUMAN],50.7750437259674,30.43,4,16,16,17,667,75.90501279466,6.97607421875
55,P19827,Inter-alpha-trypsin inhibitor heavy chain H1 OS=Homo sapiens OX=9606 GN=ITIH1 PE=1 SV=3 - [ITIH1_HUMAN],50.6115744113922,21.95,4,11,11,16,911,101.32561954466,6.78564453125
56,P01861,Immunoglobulin heavy constant gamma 4 OS=Homo sapiens OX=9606 GN=IGHG4 PE=1 SV=1 - [IGHG4_HUMAN],50.4668647050858,47.4,2,6,11,19,327,35.91786734466,7.35693359375
57,P04406,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3 - [G3P_HUMAN],49.6033873558044,40.9,2,8,8,14,335,36.03039959466,8.45556640625
58,P19105,Myosin regulatory light chain 12A OS=Homo sapiens OX=9606 GN=MYL12A PE=1 SV=2 - [ML12A_HUMAN],48.9320869445801,56.14,4,3,7,13,171,19.78149140466,4.80517578125
59,A5A3E0,POTE ankyrin domain family member F OS=Homo sapiens OX=9606 GN=POTEF PE=1 SV=2 - [POTEF_HUMAN],48.1295747756958,7.81,4,1,6,15,1075,121.36669955466,6.20166015625
60,P0DOY3,Immunoglobulin lambda constant 3 OS=Homo sapiens OX=9606 GN=IGLC3 PE=1 SV=1 - [IGLC3_HUMAN],47.8336191177368,83.96,2,3,6,17,106,11.25854359466,7.23974609375
61,P08603,Complement factor H OS=Homo sapiens OX=9606 GN=CFH PE=1 SV=4 - [CFAH_HUMAN],46.572313785553,16.82,6,14,14,16,1231,139.00470380466,6.60986328125
62,P14618,Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4 - [KPYM_HUMAN],46.2708852291107,30.51,11,12,12,14,531,57.9000263146601,7.84033203125
63,P0CG04,Immunoglobulin lambda constant 1 OS=Homo sapiens OX=9606 GN=IGLC1 PE=1 SV=1 - [IGLC1_HUMAN],46.0907328128815,67.92,3,2,5,16,106,11.34060793466,7.86962890625
64,P67936,Tropomyosin alpha-4 chain OS=Homo sapiens OX=9606 GN=TPM4 PE=1 SV=3 - [TPM4_HUMAN],45.5703928470612,35.48,15,3,9,14,248,28.50449250466,4.69091796875
65,P02774,Vitamin D-binding protein OS=Homo sapiens OX=9606 GN=GC PE=1 SV=2 - [VTDB_HUMAN],45.5326833724976,30.8,4,12,12,14,474,52.88294252466,5.45263671875
66,P27105,Erythrocyte band 7 integral membrane protein OS=Homo sapiens OX=9606 GN=STOM PE=1 SV=3 - [STOM_HUMAN],45.0491604804993,43.75,3,10,10,13,288,31.71074224466,7.88427734375
67,P00747,Plasminogen OS=Homo sapiens OX=9606 GN=PLG PE=1 SV=2 - [PLMN_HUMAN],44.7410979270935,24.57,5,14,14,17,810,90.5101610046602,7.23974609375
