,Accession,Description,Score,Coverage,# Proteins,# Unique Peptides,# Peptides,# PSMs,# AAs,MW [kDa],calc. pI
0,P68871,Hemoglobin subunit beta OS=Homo sapiens OX=9606 GN=HBB PE=1 SV=2 - [HBB_HUMAN],1231.93882286549,97.28,6,14,20,357,147,15.98829092466,7.28369140625
1,P69905,Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2 - [HBA_HUMAN],928.739826083183,94.37,4,16,16,272,142,15.24792627466,8.67529296875
2,P02042,Hemoglobin subunit delta OS=Homo sapiens OX=9606 GN=HBD PE=1 SV=2 - [HBD_HUMAN],685.439395904541,88.44,6,11,17,209,147,16.04529062466,8.04541015625
3,P02768,Serum albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2 - [ALBU_HUMAN],654.460247993469,80.95,8,61,61,192,609,69.32149882466,6.27783203125
4,P01024,Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2 - [CO3_HUMAN],514.183937311172,58.39,5,77,77,143,1663,187.02988373466,6.40478515625
5,P02671,Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2 - [FIBA_HUMAN],505.766079545021,42.61,2,39,39,160,866,94.9144191846604,6.01123046875
6,Q60FE5,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=1 - [Q60FE5_HUMAN],358.829477190971,44.39,8,70,74,102,2620,278.052770494661,6.06201171875
7,Q9Y490,Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3 - [TLN1_HUMAN],324.867246866226,39.16,1,59,62,86,2541,269.59906266466,6.07470703125
8,P02675,Fibrinogen beta chain OS=Homo sapiens OX=9606 GN=FGB PE=1 SV=2 - [FIBB_HUMAN],279.585489749908,71.89,2,32,32,87,491,55.8922632646601,8.26513671875
9,P04114,Apolipoprotein B-100 OS=Homo sapiens OX=9606 GN=APOB PE=1 SV=2 - [APOB_HUMAN],276.234573841095,24.39,2,84,84,94,4563,515.282932694663,7.04931640625
10,P01023,Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3 - [A2MG_HUMAN],268.476089000702,45.18,4,42,49,83,1474,163.18789839466,6.45556640625
11,P02647,Apolipoprotein A-I OS=Homo sapiens OX=9606 GN=APOA1 PE=1 SV=1 - [APOA1_HUMAN],238.419275999069,59.55,2,21,21,78,267,30.75893391466,5.75732421875
12,P0C0L5,Complement C4-B OS=Homo sapiens OX=9606 GN=C4B PE=1 SV=2 - [CO4B_HUMAN],222.482684731483,32.22,11,37,37,56,1744,192.63055081466,7.26904296875
13,P35579,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4 - [MYH9_HUMAN],221.308050990105,29.23,10,44,48,64,1960,226.39160226466,5.60498046875
14,A0A2R8Y7X9,Uncharacterized protein OS=Homo sapiens OX=9606 PE=3 SV=1 - [A0A2R8Y7X9_HUMAN],220.939429998398,66.07,5,1,9,76,168,18.40858482466,6.96142578125
15,P69892,Hemoglobin subunit gamma-2 OS=Homo sapiens OX=9606 GN=HBG2 PE=1 SV=2 - [HBG2_HUMAN],216.250516176224,64.63,5,1,9,75,147,16.11629652466,7.19580078125
16,P02787,Serotransferrin OS=Homo sapiens OX=9606 GN=TF PE=1 SV=3 - [TRFE_HUMAN],215.260160088539,59.74,7,38,38,67,698,77.0136334646601,7.12255859375
17,P12814,Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2 - [ACTN1_HUMAN],198.05605340004,52.02,22,24,36,58,892,102.99263728466,5.41455078125
18,P02751,Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=4 - [FINC_HUMAN],195.2142329216,26.28,3,39,39,52,2386,262.46011262466,5.70654296875
19,C9JEU5,Fibrinogen gamma chain OS=Homo sapiens OX=9606 GN=FGG PE=1 SV=1 - [C9JEU5_HUMAN],177.859304189682,48.54,3,10,19,53,445,50.2904329246601,6.08740234375
20,P60709,"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1 - [ACTB_HUMAN]",170.311754584312,63.47,23,1,19,50,375,41.70973209466,5.47802734375
21,P18206,Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4 - [VINC_HUMAN],157.88572371006,34.39,2,31,31,50,1134,123.72181897466,5.65576171875
