,Accession,Description,Score,Coverage,# Proteins,# Unique Peptides,# Peptides,# PSMs,# AAs,MW [kDa],calc. pI
0,P68871,Hemoglobin subunit beta OS=Homo sapiens OX=9606 GN=HBB PE=1 SV=2 - [HBB_HUMAN],1216.61470556259,93.88,5,17,23,358,147,15.98829092466,7.28369140625
1,P69905,Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2 - [HBA_HUMAN],924.276259899139,90.14,4,14,14,265,142,15.24792627466,8.67529296875
2,P02768,Serum albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2 - [ALBU_HUMAN],665.492186307907,81.12,8,60,60,195,609,69.32149882466,6.27783203125
3,P02042,Hemoglobin subunit delta OS=Homo sapiens OX=9606 GN=HBD PE=1 SV=2 - [HBD_HUMAN],645.52700483799,87.07,5,9,15,198,147,16.04529062466,8.04541015625
4,P01024,Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2 - [CO3_HUMAN],541.938943982124,59.47,5,80,80,156,1663,187.02988373466,6.40478515625
5,P02671,Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2 - [FIBA_HUMAN],437.601420164108,43.53,2,40,40,147,866,94.9144191846604,6.01123046875
6,P04114,Apolipoprotein B-100 OS=Homo sapiens OX=9606 GN=APOB PE=1 SV=2 - [APOB_HUMAN],342.018941164017,26.91,2,94,94,113,4563,515.282932694663,7.04931640625
7,Q60FE5,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=1 - [Q60FE5_HUMAN],327.920513391495,42.98,8,69,73,97,2620,278.052770494661,6.06201171875
8,Q9Y490,Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3 - [TLN1_HUMAN],318.041055560112,40.06,3,58,63,87,2541,269.59906266466,6.07470703125
9,P35579,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4 - [MYH9_HUMAN],306.9790391922,37.3,10,62,65,87,1960,226.39160226466,5.60498046875
10,P01023,Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3 - [A2MG_HUMAN],297.459102034569,46.27,4,43,50,94,1474,163.18789839466,6.45556640625
