,Accession,Description,Score,Coverage,# Proteins,# Unique Peptides,# Peptides,# PSMs,# AAs,MW [kDa],calc. pI
0,P68871,Hemoglobin subunit beta OS=Homo sapiens OX=9606 GN=HBB PE=1 SV=2 - [HBB_HUMAN],1635.85988640785,100.0,5,16,23,466,147,15.98829092466,7.28369140625
1,P69905,Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2 - [HBA_HUMAN],835.47674870491,94.37,4,17,17,249,142,15.24792627466,8.67529296875
2,P02042,Hemoglobin subunit delta OS=Homo sapiens OX=9606 GN=HBD PE=1 SV=2 - [HBD_HUMAN],780.538210391998,91.16,4,2,16,233,147,16.04529062466,8.04541015625
3,E9PEW8,Hemoglobin subunit delta (Fragment) OS=Homo sapiens OX=9606 GN=HBD PE=1 SV=1 - [E9PEW8_HUMAN],692.629539728165,91.35,3,1,12,200,104,11.33876978466,6.36669921875
4,A0A0C4DGB6,Serum albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=1 - [A0A0C4DGB6_HUMAN],285.708190560341,65.56,8,39,39,87,604,69.1813721746601,6.36669921875
5,P69891,Hemoglobin subunit gamma-1 OS=Homo sapiens OX=9606 GN=HBG1 PE=1 SV=2 - [HBG1_HUMAN],277.77043056488,85.71,5,1,14,98,147,16.13031217466,7.19580078125
6,P69892,Hemoglobin subunit gamma-2 OS=Homo sapiens OX=9606 GN=HBG2 PE=1 SV=2 - [HBG2_HUMAN],274.600142002106,85.71,5,1,14,97,147,16.11629652466,7.19580078125
7,P02751,Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=4 - [FINC_HUMAN],246.738570570946,31.81,3,45,45,66,2386,262.46011262466,5.70654296875
8,P01024,Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2 - [CO3_HUMAN],225.999367952347,40.71,4,51,51,66,1663,187.02988373466,6.40478515625
9,Q60FE5,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=1 - [Q60FE5_HUMAN],184.894158124924,29.08,7,47,47,54,2620,278.052770494661,6.06201171875
10,Q9Y490,Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3 - [TLN1_HUMAN],161.386972546577,25.11,4,37,37,44,2541,269.59906266466,6.07470703125
11,P02549,"Spectrin alpha chain, erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTA1 PE=1 SV=5 - [SPTA1_HUMAN]",153.323597669601,25.34,1,47,47,50,2419,279.841908974661,5.04638671875
12,P02730,Band 3 anion transport protein OS=Homo sapiens OX=9606 GN=SLC4A1 PE=1 SV=3 - [B3AT_HUMAN],148.367807388306,25.25,2,16,16,40,911,101.72741707466,5.18603515625
13,P00915,Carbonic anhydrase 1 OS=Homo sapiens OX=9606 GN=CA1 PE=1 SV=2 - [CAH1_HUMAN],139.055067539215,63.6,13,13,13,41,261,28.85238934466,7.12255859375
14,P35579,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4 - [MYH9_HUMAN],137.73891055584,25.56,8,37,39,43,1960,226.39160226466,5.60498046875
15,P02671,Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2 - [FIBA_HUMAN],134.618597269058,24.48,2,16,16,45,866,94.9144191846604,6.01123046875
16,P11277,"Spectrin beta chain, erythrocytic OS=Homo sapiens OX=9606 GN=SPTB PE=1 SV=5 - [SPTB1_HUMAN]",126.032142877579,21.57,5,30,30,34,2137,246.31574488466,5.27490234375
17,P02647,Apolipoprotein A-I OS=Homo sapiens OX=9606 GN=APOA1 PE=1 SV=1 - [APOA1_HUMAN],120.847837567329,53.56,2,17,17,40,267,30.75893391466,5.75732421875
18,P12814,Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2 - [ACTN1_HUMAN],108.545537233353,38.34,25,28,28,36,892,102.99263728466,5.41455078125
