,Accession,Description,Score,Coverage,# Proteins,# Unique Peptides,# Peptides,# PSMs,# AAs,MW [kDa],calc. pI
0,P68871,Hemoglobin subunit beta OS=Homo sapiens OX=9606 GN=HBB PE=1 SV=2 - [HBB_HUMAN],1692.88036477566,100.0,5,15,22,480,147,15.98829092466,7.28369140625
1,P02042,Hemoglobin subunit delta OS=Homo sapiens OX=9606 GN=HBD PE=1 SV=2 - [HBD_HUMAN],856.665320634842,91.16,4,2,17,245,147,16.04529062466,8.04541015625
2,P69905,Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2 - [HBA_HUMAN],784.222854495049,94.37,4,18,18,236,142,15.24792627466,8.67529296875
3,E9PEW8,Hemoglobin subunit delta (Fragment) OS=Homo sapiens OX=9606 GN=HBD PE=1 SV=1 - [E9PEW8_HUMAN],772.877815961838,91.35,3,1,13,214,104,11.33876978466,6.36669921875
4,P69891,Hemoglobin subunit gamma-1 OS=Homo sapiens OX=9606 GN=HBG1 PE=1 SV=2 - [HBG1_HUMAN],276.937382936478,84.35,4,1,12,99,147,16.13031217466,7.19580078125
5,P69892,Hemoglobin subunit gamma-2 OS=Homo sapiens OX=9606 GN=HBG2 PE=1 SV=2 - [HBG2_HUMAN],265.079800605774,84.35,4,1,12,95,147,16.11629652466,7.19580078125
6,P02768,Serum albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2 - [ALBU_HUMAN],252.356093645096,67.16,8,38,38,80,609,69.32149882466,6.27783203125
7,P02100,Hemoglobin subunit epsilon OS=Homo sapiens OX=9606 GN=HBE1 PE=1 SV=2 - [HBE_HUMAN],204.793379426003,18.37,2,1,3,75,147,16.19247089466,8.63134765625
8,P01024,Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2 - [CO3_HUMAN],196.880801796913,35.66,5,44,44,58,1663,187.02988373466,6.40478515625
9,P02751,Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=4 - [FINC_HUMAN],177.916284799576,25.15,3,37,37,54,2386,262.46011262466,5.70654296875
10,P02549,"Spectrin alpha chain, erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTA1 PE=1 SV=5 - [SPTA1_HUMAN]",158.101282835007,25.42,1,45,45,50,2419,279.841908974661,5.04638671875
